COFXX,Health,Blood donation campaign,COFXX employees organized a blood donation campaign in collaboration with the regional hospital.,Partnership,Regional Red Crescent,1.500 €,One shot,Every 2 years,120,300,Blood bags,1 year,Medical follow-up and awareness sessions will be organized after the campaign.,Finished
COFXX,Environment,Beach cleaning,COFXX volunteers cleaned XX beach and collected plastic waste.,Internal,,950 €,Quarterly,Every 3 months,80,1200,Kg of waste,3 years,Environmental awareness signs will be installed and maintained.,In progress
COFXX,Education,Providing school supplies,COFXX donated school kits to students from disadvantaged families.,Donation,Local NGO,2.200 €,Every year,Every year,150,750,Students,4 years,Additional educational support activities will be organized annually.,Finished
COFXX,Community,Food distribution during Ramadan,COFXX distributed food packages to vulnerable families during Ramadan.,Partnership,Charity Association,4.500 €,Annual,Every year,300,300,Families,10 years,Annual evaluation of family needs will be conducted.,Finished
COFXX,Environment,Installing recycling bins,COFXX installed recycling bins across industrial and public areas.,Internal,,1.800 €,One shot,NA,40,100,Bins,Lifetime,Bins will be emptied and maintained weekly.,In progress
COFXX,Health,Medical caravan,A mobile medical caravan provided free healthcare services in rural areas.,Partnership,Health Organization,6.000 €,Successive performance,Every year,25,900,Patients,5 years,Medical checkups and medicine distribution will continue yearly.,Finished
COFXX,Education,Digital training workshops,COFXX organized coding and digital literacy workshops for youth.,Internal,,2.700 €,Quarterly,Every 6 months,60,400,Youth,3 years,Training materials and computers will be updated regularly.,In progress
COFXX,Environment,Solar panel installation,COFXX installed solar panels in a public school to reduce electricity consumption.,Partnership,Green Energy Association,8.500 €,One shot,NA,15,1,School,15 years,Panels will be inspected and cleaned every year.,Finished
COFXX,Community,Women entrepreneurship support,COFXX funded training sessions for women-led small businesses.,Partnership,Women Association,5.200 €,Annual,Every year,45,120,Women entrepreneurs,6 years,Coaching and mentoring sessions will continue every year.,In progress
COFXX,Health,Employee wellness program,COFXX launched a wellness initiative including sports and mental health support.,Internal,,3.300 €,Continuous,Monthly,200,200,Employees,Lifetime,Health activities and workshops will be updated regularly.,In progress
COFXX,Education,Scholarship program,COFXX provided scholarships for outstanding university students.,Donation,University Foundation,7.000 €,Annual,Every year,20,20,Students,5 years,Student progress will be monitored annually.,Finished
COFXX,Environment,Tree plantation near factories,COFXX planted trees around industrial zones to reduce pollution.,Internal,,2.400 €,Annual,Every rainy season,100,1500,Trees,Lifetime,Trees will be watered and protected periodically.,In progress
